0,1,2,3,4,5,6,7,8
类别年份,流动资产合计 （亿元),累计增长 （%),应收帐款 （亿元),累计增长 （%),资产总计 （亿元),累计增长 （%),负债合计 （亿元),累计增长 （%)
202409,72899.4,5.5,26670.2,9.3,113018.7,5.1,72933.1,6.7
202408,71516.7,5.1,26061.3,9.6,111229,4.8,71510.9,6.3
202407,70326.1,5.3,25257.5,8.1,110072.6,4.8,70678.8,6.2
202406,69707.3,5.5,24901.3,7.8,109388.7,4.9,70018.1,6.1
202405,69045.8,7.1,24082.3,7.5,108516.3,5.6,69377.3,7.1
202404,68836.5,7.3,23557.6,7.8,108441.6,6.6,69039.8,8.9
202403,68012.5,7.8,22600.4,6.3,107375.6,6.6,67504.8,8
202402,66141.7,7.5,21738.2,7.8,105596.1,7,65981.3,8.7
202312,69491.1,11.3,23323.3,12.4,108668.3,8.7,69175.4,10.9
202311,70412.9,10.9,24977.5,15.2,109139.6,8.8,69776.6,11.4
202310,69336,10.3,24716,17.1,107764.4,8.5,68882.2,11.7
202309,68701,11.9,24276.3,20.6,106780.1,9.5,67925.3,12.3
202308,67667.5,13.5,23615.8,22.2,105447.3,10.2,66930.8,13.4
202307,66311.8,14.4,23187.2,24.2,104061.2,10.9,66002.2,14.5
202306,65411,15,22854.9,30,103122.8,11.6,65316,16.1
202305,63753.1,16.1,22097.2,35.2,101603.5,12.4,63835.1,17.8
202304,63566.7,16.8,21627.1,33.9,100883.9,12.4,62743.2,17.3
202303,62622.1,12.8,21072.6,24.3,100187.7,10.3,61909.1,14
202302,61136,12,19971.5,18.6,98343.5,9.6,60149.9,12.1
202212,59908.8,11.9,18592.7,21.1,97297.8,9,59354.6,11.6
202211,60705.8,14.6,19268.8,26.7,97463.7,10.5,59567.9,14.1
202210,60002.9,16.1,18548.9,28.2,96339.5,11.2,58557.1,14.6
202209,58559.9,15.3,17603.2,26.1,94625.1,10.4,57468.1,13.8
202208,56927.6,13.6,16878,21.6,92897.1,9.6,56127.7,12.7
202207,55469.7,11.9,16414,18.1,91245.6,8.7,54809.6,11.3
202206,54588.1,9,15520.9,13.5,90084.6,6.8,53683.4,7.9
202205,52751.7,4.6,14452.2,4.2,88285.8,4.4,51728,3.8
202204,52122.6,2.9,14249.7,2,87599.7,3.3,51058.3,1.8
202203,53389.8,6.9,15102.2,10.4,88578.3,5.6,51977.4,5.3
202202,52612.2,6.8,15054.5,10.8,87622.3,6,51366.9,6.1
202112,53162.2,4.8,15029.3,2.3,88741.3,4.9,52785.4,4.8
202111,52680.9,1.7,14968.3,-5.8,87743.9,2.7,51928.1,1.4
202110,51155,2.2,14143.7,-5.6,85847.5,2.9,50539.9,1.9
202109,50417.6,4.1,13737.5,-4.7,85178.1,4.1,50114.5,3
202108,50279.6,4.2,13773.1,-3.3,84865.8,4,49919.7,3.1
202107,49801.6,4.7,13839.8,-1.7,84185.2,4.2,49529.2,3.2
202106,50383.5,7.5,13645.1,-1.1,84590.5,5.8,50072.9,5.1
202105,51082.4,11,13908,4,85261.9,7.9,50217.1,7.5
202104,51012.2,15.4,14050.9,15.1,85010,10,50386.4,12
202103,50415.9,19.4,13829.1,20,84234.4,12.1,49696.6,15.4
202102,49674.3,18.1,13674.8,17.3,83131.1,11.8,48863.5,14.9
202012,51803.8,10.3,14968.4,11.3,86442.9,6,51287,7
202011,52973.7,12.8,16202.9,16.9,87313.9,8.1,52219.5,10.6
202010,51474.9,12.3,15429.4,16.1,85674.5,7.7,50991.5,10.1
202009,49905.9,11,14851.1,13.2,84086.2,7.2,50048.8,9.9
202008,49122.3,11.2,14549.1,12.6,83058,7.5,49252.5,10.2
202007,48492.1,10.3,14405.7,13.7,82241.2,7.2,48824.9,9.5
202006,48488.1,7,14057.9,8,81051.4,6.2,49202.5,7.7
202005,47414.7,4.8,13626.1,4.5,79846.5,4.9,48152.4,6.1
202004,45650.3,1.7,12502,-4,78103.2,3.3,46404.3,3.7
202003,43595.5,-2.1,11826.2,-7.4,75911.4,1.3,44281.9,0.1
202002,43026,-0.4,11806.9,0.6,74640.6,1.7,43303.8,1.8
201912,49143.4,4,--,--,83147.1,4.7,50118.6,6.8
201911,49012.9,3.4,--,--,82342.7,4.4,49245.2,5.2
201910,47798.4,3.3,--,--,81050.5,4.6,48240.5,5.6
201909,47011.7,2.4,--,--,80120.6,4,47625.9,4.8
201908,46401.1,2.1,--,--,79140.7,3.9,46884.5,4.2
201907,46331.8,1.3,--,--,78882.4,3.1,46931.9,3.3
201906,47067.9,2.1,--,--,79304.2,3.7,47510.3,3.9
201905,47258.8,3.3,--,--,79378,4.9,47428.8,5.3
201904,46956.8,2.4,--,--,78963.9,4.6,46885.4,4.5
201903,46553.3,4,--,--,78236.2,5.3,46365.2,6.3
201902,44397.5,1.4,--,--,75221.4,2.9,44512.2,3.9
201812,47164.3,4.8,14156.2,7.4,79176.2,6.3,46896.2,5.4
201811,47449.5,7.7,14599.9,12,78896.1,7.6,46859.6,7.8
201810,46237.8,9.1,13971,14.2,77277.9,8.3,45645.3,9.1
201809,45843.1,11,13463.3,14.4,76730.4,10,45351.6,11.4
201808,45512.9,13,13162.6,15.9,76185,11,45121.8,13.1
201807,45662.5,14.4,13739.4,22.7,75973.7,12,45026.3,14
201806,46010.5,16.2,13634,22.8,75886.5,13.3,45281,15.9
201805,46083.6,15.3,13437.2,18.4,75770.4,12.7,45150.7,15
