0,1,2,3,4,5,6
类别年份,增加值同比增长 （%),增加值累计增长 （%),出口交货值当月值 （亿元),同比增长 （%),出口交货值累计值 （亿元),累计增长 （%)
202410,6.2,7.7,786,10,7767.3,16.2
202409,4.6,7.9,839.6,16.1,6988.7,17.1
202408,4.5,8.4,775.3,15.9,6138.5,17.1
202407,4.4,9,749.2,13,5354.1,18.6
202406,6.8,9.8,795,20.8,4589.5,19.6
202405,7.6,10.5,821.6,17.6,3781.2,19.1
202404,16.3,11.3,830.9,26.4,2958.2,19.6
202403,9.4,9.7,781.5,22.9,2117.8,16.8
202402,--,9.8,--,--,1341.5,13
202312,20,13,739.8,17.3,8113.4,26.3
202311,20.7,12.3,694.9,9.4,7364.9,27.8
202310,10.8,11.3,712.8,9.1,6670,30.3
202309,9,11.4,721.6,27.6,5952.7,34.3
202308,9.9,11.7,667.5,9.1,5227.7,34.3
202307,6.2,12,661.7,15.7,4503.5,37.3
202306,8.8,13.1,656.5,31.6,3831.4,41.3
202305,23.8,14.2,696.1,44,3167.4,43.4
202304,44.6,11.8,655.5,88.3,2467.9,43.3
202303,13.5,4.4,638,44.3,1816.6,32.4
202302,--,-1,--,--,1188.4,27.7
202212,-5.9,6.3,629.2,36.2,6392,30
202211,4.9,7.7,632.5,44,5769.9,28.9
202210,18.7,8.1,649.7,39.6,5125.6,26.9
202209,23.7,6.9,565.7,31.3,4469.4,25.6
202208,30.5,4.5,608.4,33.2,3899,24.2
202207,22.5,1.3,571.4,33.4,3289.5,23.4
202206,16.2,-1.9,499.4,27.1,2724.4,22.1
202205,-7,-5.7,484.9,16.9,2223.8,20.4
202204,-31.8,-5.4,353.2,-4.6,1735.4,21.9
202203,-1,4,443.9,14.6,1377.7,29.5
202202,--,7.2,--,--,929.3,38.9
202112,2.8,5.5,464.7,17.1,4933.9,40.3
202111,-4.7,5.8,440.6,23.1,4488,44.5
202110,-7.9,7.3,464.1,41.8,4034.4,47.2
202109,-8.2,9.4,430,28.8,3559.2,48
202108,-12.6,12.4,457.9,58.3,3148.6,51.1
202107,-8.5,16.7,428.4,64.9,2674.7,48.7
202106,-4.3,21.8,396.1,33.7,2255.3,46.4
202105,0.5,29.3,417.4,84.7,1863.8,49.6
202104,7.7,38.8,371.5,36.3,1436.1,42.4
202103,40.4,55.1,394.7,28.3,1081.2,46.5
202102,--,70.9,--,--,677.6,61.8
202012,9.7,6.6,397.3,9.9,3537.1,-1.3
202011,11.1,6.3,357.8,20.4,3119.7,-2.6
202010,14.7,5.6,327.3,16.4,2768.4,-4.9
202009,16.4,4.4,337,6.5,2438.8,-6.7
202008,14.8,2.8,290.7,-5.1,2097.6,-9.3
202007,21.6,1.1,260.9,-13.6,1807.9,-10
202006,13.4,-3.1,294.7,-4.5,1534.1,-10.2
202005,12.2,-7.9,224.4,-23.1,1240.3,-11.7
202004,5.8,-15,272.1,-6.2,1006.5,-9.4
202003,-22.4,-26,306,7.9,738.7,-8.7
202002,--,-31.8,--,--,419.1,-21
201912,10.4,1.8,370,5.4,3722.7,-2.4
201911,7.7,0.7,309.8,-6.3,3342.4,-1.9
201910,4.9,-0.2,293.7,-4.2,3039.1,-1.1
201909,0.5,-0.8,333,0.2,2803.6,-0.9
201908,4.3,-1,325.7,-1.4,2475.4,-0.4
201907,-4.4,-1.8,326.3,-1.5,2172.3,0.3
201906,-2.5,-1.4,332,0,1841.7,0.8
201905,-4.7,-1,315.2,-0.3,1517,1.3
201904,-1.1,-0.3,311.4,-1,1201.2,2
201903,2.6,0.2,310.7,-1.1,879.2,1.8
201902,--,-5.3,--,--,575.6,7.8
201812,-4.1,4.9,343.9,1.4,3813.7,8.5
201811,-3.2,5.9,329.3,5.3,3471.2,5.3
201810,-0.7,6.9,310.8,8.2,3139,9.4
201809,0.7,7.7,338.3,5.3,2852.6,10.6
201808,1.9,8.7,328.9,9,2507.4,10.5
201807,6.3,9.6,335.2,16.3,2196.1,11.4
201806,14,10.1,337.9,7.9,1855.4,9
201805,13.2,9.2,322.2,6.1,1529.3,9.4
201804,11.9,8.1,316.3,5.3,1195.3,7.7
201803,9.5,6.8,318.8,7.8,887.5,11.5
201802,--,4.9,--,--,569.9,13.4
201712,9.6,12.2,347.2,16.5,3595.1,15.8
201711,9.4,12.6,328.9,17.3,3393.6,19.5
201710,11,13,307.3,15.3,2992.8,16.4
201709,13.7,13.2,333.8,18.5,2697.2,16.3
201708,14.5,13.1,312.5,12.8,2362.6,14.5
201707,11.8,13,296.2,9.2,2046.1,15.5
201706,13.1,13.1,327.3,12.6,1757,16.9
201705,10.3,13.2,311.8,21.7,1427.1,20.4
201704,9.2,13.9,310.7,23.1,1127.5,21.7
201703,12.4,15.4,300.7,18.9,796.1,18.1
201702,--,17,--,--,495.8,18.1
201612,16.2,15.5,305.6,7,3146.3,3.9
201611,19.5,15.5,281,14.9,2840.3,3.6
201610,17.9,15,262.4,10.2,2542.5,4.4
201609,22.5,14.6,277.9,8.2,2283.7,3.6
201608,21.4,13.4,271.5,11.2,2022.6,4
201607,22.9,12.3,265.4,5.3,1735.8,2.1
201606,11.4,10.5,285.8,9,1473,2.1
201605,11.2,10.4,256.5,3.3,1187.1,0.5
201604,12.1,10.2,298.3,18.6,975,4.1
201603,11.4,9.5,254.5,0.4,675.1,-1.6
201602,--,8.1,--,--,420.2,-2.5
201512,12,6.7,287.5,-5.5,3062.2,1
201511,13,6.1,245.7,-1.5,2763,1.9
201510,7.3,5.2,240.4,-2.2,2457.9,-0.3
201509,2.7,4.9,259.3,-2.7,2222.3,0.6
201508,0.2,5.2,246.6,-1.4,1961,1.1
201507,-0.5,5.8,254,-1.5,1713.1,1.6
201506,7.9,6.7,264.2,2.1,1449.2,1.9
201505,4.4,6.4,248.3,1.6,1178,1
201504,5,6.9,249.1,2.9,927.1,2.7
201503,6.3,7.6,251.2,-1.6,679.2,2.9
201502,--,8.4,--,--,426.8,6.7
201412,8.5,11.8,300.6,13.5,3007.8,9
201411,9,12.1,247,0.7,2697.9,8.6
201410,12.6,12.5,243.8,3.9,2454.7,10.8
201409,10.7,12.5,264.3,8.9,2199.6,11.3
201408,8.5,12.8,247.6,11,1934.1,11.6
201407,12.8,13.4,256,11.7,1681.9,11.4
201406,13.6,13.4,259,16.3,1430.6,10.7
201405,13.4,13.3,245.1,7.1,1173.9,9
201404,11.5,13.3,242.7,8.4,910,7.9
201403,11.7,14,258.7,4.5,670.8,8.6
201402,--,15.5,--,--,407.1,10.3
201312,20.8,14.9,279,9.2,2948.8,7.4
